# y+ ()         
# Time          	patch           	min             	max             	average         
0.000001        	lowerWall	7.947699541e+01	7.947766555e+01	7.947699612e+01
0.000001        	upperWall	7.947699543e+01	7.947766548e+01	7.947699609e+01
